CodigoVariable,FechaHora,CodigoDuracion,UnidadMedida,Version,Valor
PB_Int,2025-12-02 07:00:00,PT1H,COP/kWh,TX1,279.86
PB_Tie,2025-12-02 19:00:00,PT1H,COP/kWh,TX1,310.0
PB_Int,2025-12-02 06:00:00,PT1H,COP/kWh,TX1,269.0
PB_Nal,2025-12-02 09:00:00,PT1H,COP/kWh,TX1,284.4463
PB_Nal,2025-12-02 23:00:00,PT1H,COP/kWh,TX1,284.4463
PB_Int,2025-12-02 20:00:00,PT1H,COP/kWh,TX1,310.0
PB_Nal,2025-12-02 12:00:00,PT1H,COP/kWh,TX1,284.4463
PB_Tie,2025-12-25 22:00:00,PT1H,COP/kWh,TX1,321.2861
PB_Tie,2025-12-25 08:00:00,PT1H,COP/kWh,TX1,102.2901
PB_Nal,2025-12-25 01:00:00,PT1H,COP/kWh,TX1,196.2053
PB_Tie,2025-12-25 21:00:00,PT1H,COP/kWh,TX1,321.2861
PB_Int,2025-12-25 10:00:00,PT1H,COP/kWh,TX1,95.8481
PB_Tie,2025-12-25 05:00:00,PT1H,COP/kWh,TX1,234.2861
PB_Int,2025-12-25 17:00:00,PT1H,COP/kWh,TX1,234.2861
PB_Nal,2025-12-25 02:00:00,PT1H,COP/kWh,TX1,206.2053
PB_Tie,2025-12-25 17:00:00,PT1H,COP/kWh,TX1,234.2861
PB_Nal,2025-12-25 07:00:00,PT1H,COP/kWh,TX1,117.2093
PB_Int,2025-12-25 13:00:00,PT1H,COP/kWh,TX1,171.2861
PB_Tie,2025-12-25 20:00:00,PT1H,COP/kWh,TX1,321.2861
PB_Int,2025-12-25 09:00:00,PT1H,COP/kWh,TX1,95.8481
PB_Tie,2025-12-25 13:00:00,PT1H,COP/kWh,TX1,171.2861
PB_Tie,2025-12-25 03:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Tie,2025-12-25 16:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Int,2025-12-25 07:00:00,PT1H,COP/kWh,TX1,171.2861
PB_Tie,2025-12-25 09:00:00,PT1H,COP/kWh,TX1,95.8481
PB_Nal,2025-12-25 19:00:00,PT1H,COP/kWh,TX1,336.2053
PB_Nal,2025-12-25 10:00:00,PT1H,COP/kWh,TX1,110.7673
PB_Int,2025-12-25 18:00:00,PT1H,COP/kWh,TX1,321.2861
PB_Nal,2025-12-25 15:00:00,PT1H,COP/kWh,TX1,186.2053
PB_Nal,2025-12-25 08:00:00,PT1H,COP/kWh,TX1,110.7673
PB_Nal,2025-12-25 16:00:00,PT1H,COP/kWh,TX1,206.2053
PB_Nal,2025-12-25 03:00:00,PT1H,COP/kWh,TX1,206.2053
PB_Nal,2025-12-25 17:00:00,PT1H,COP/kWh,TX1,249.2053
PB_Int,2025-12-25 05:00:00,PT1H,COP/kWh,TX1,234.2861
PB_Nal,2025-12-25 12:00:00,PT1H,COP/kWh,TX1,117.2093
PB_Tie,2025-12-25 14:00:00,PT1H,COP/kWh,TX1,181.2861
PB_Nal,2025-12-25 22:00:00,PT1H,COP/kWh,TX1,249.2053
PB_Int,2025-12-25 11:00:00,PT1H,COP/kWh,TX1,102.2901
PB_Tie,2025-12-25 04:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Nal,2025-12-25 13:00:00,PT1H,COP/kWh,TX1,186.2053
PB_Int,2025-12-25 21:00:00,PT1H,COP/kWh,TX1,321.2861
PB_Int,2025-12-25 06:00:00,PT1H,COP/kWh,TX1,181.2861
PB_Int,2025-12-25 01:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Tie,2025-12-25 06:00:00,PT1H,COP/kWh,TX1,181.2861
PB_Int,2025-12-25 20:00:00,PT1H,COP/kWh,TX1,321.2861
PB_Int,2025-12-25 19:00:00,PT1H,COP/kWh,TX1,321.2861
PB_Tie,2025-12-25 10:00:00,PT1H,COP/kWh,TX1,95.8481
PB_Tie,2025-12-25 18:00:00,PT1H,COP/kWh,TX1,321.2861
PB_Int,2025-12-25 04:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Int,2025-12-25 00:00:00,PT1H,COP/kWh,TX1,181.2861
PB_Tie,2025-12-25 02:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Int,2025-12-25 08:00:00,PT1H,COP/kWh,TX1,102.2901
PB_Tie,2025-12-25 01:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Nal,2025-12-25 14:00:00,PT1H,COP/kWh,TX1,186.2053
PB_Nal,2025-12-25 21:00:00,PT1H,COP/kWh,TX1,336.2053
PB_Tie,2025-12-25 23:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Nal,2025-12-25 05:00:00,PT1H,COP/kWh,TX1,196.2053
PB_Int,2025-12-25 03:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Nal,2025-12-25 00:00:00,PT1H,COP/kWh,TX1,186.2053
PB_Int,2025-12-25 15:00:00,PT1H,COP/kWh,TX1,181.2861
PB_Nal,2025-12-25 23:00:00,PT1H,COP/kWh,TX1,206.2053
PB_Tie,2025-12-25 07:00:00,PT1H,COP/kWh,TX1,171.2861
PB_Int,2025-12-25 16:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Tie,2025-12-25 12:00:00,PT1H,COP/kWh,TX1,171.2861
PB_Nal,2025-12-25 20:00:00,PT1H,COP/kWh,TX1,336.2053
PB_Tie,2025-12-25 15:00:00,PT1H,COP/kWh,TX1,181.2861
PB_Tie,2025-12-25 19:00:00,PT1H,COP/kWh,TX1,321.2861
PB_Nal,2025-12-25 11:00:00,PT1H,COP/kWh,TX1,110.7673
PB_Tie,2025-12-25 11:00:00,PT1H,COP/kWh,TX1,102.2901
PB_Int,2025-12-25 23:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Int,2025-12-25 12:00:00,PT1H,COP/kWh,TX1,171.2861
PB_Int,2025-12-25 22:00:00,PT1H,COP/kWh,TX1,321.2861
PB_Tie,2025-12-25 00:00:00,PT1H,COP/kWh,TX1,181.2861
PB_Nal,2025-12-25 04:00:00,PT1H,COP/kWh,TX1,206.2053
PB_Nal,2025-12-25 18:00:00,PT1H,COP/kWh,TX1,336.2053
PB_Nal,2025-12-25 09:00:00,PT1H,COP/kWh,TX1,110.7673
PB_Nal,2025-12-25 06:00:00,PT1H,COP/kWh,TX1,186.2053
PB_Int,2025-12-25 02:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Int,2025-12-25 14:00:00,PT1H,COP/kWh,TX1,181.2861
PB_Int,2025-12-31 17:00:00,PT1H,COP/kWh,TX1,270.0186
PB_Tie,2025-12-31 20:00:00,PT1H,COP/kWh,TX1,270.0186
PB_Tie,2025-12-31 05:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Int,2025-12-31 20:00:00,PT1H,COP/kWh,TX1,270.0186
PB_Nal,2025-12-31 15:00:00,PT1H,COP/kWh,TX1,266.9604
PB_Nal,2025-12-31 01:00:00,PT1H,COP/kWh,TX1,266.9604
PB_Tie,2025-12-31 18:00:00,PT1H,COP/kWh,TX1,285.0186
PB_Nal,2025-12-31 10:00:00,PT1H,COP/kWh,TX1,265.9604
PB_Tie,2025-12-31 16:00:00,PT1H,COP/kWh,TX1,257.0186
PB_Int,2025-12-31 14:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Nal,2025-12-31 22:00:00,PT1H,COP/kWh,TX1,269.2494
PB_Int,2025-12-31 08:00:00,PT1H,COP/kWh,TX1,255.0186
PB_Nal,2025-12-31 14:00:00,PT1H,COP/kWh,TX1,266.9604
PB_Int,2025-12-31 23:00:00,PT1H,COP/kWh,TX1,257.0186
PB_Int,2025-12-31 03:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Int,2025-12-31 00:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Nal,2025-12-31 09:00:00,PT1H,COP/kWh,TX1,265.9604
PB_Nal,2025-12-31 03:00:00,PT1H,COP/kWh,TX1,266.9604
PB_Nal,2025-12-31 23:00:00,PT1H,COP/kWh,TX1,266.9604
PB_Tie,2025-12-31 22:00:00,PT1H,COP/kWh,TX1,270.0186
PB_Nal,2025-12-31 04:00:00,PT1H,COP/kWh,TX1,266.9604
PB_Int,2025-12-31 21:00:00,PT1H,COP/kWh,TX1,295.0076
PB_Int,2025-12-31 01:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Nal,2025-12-31 21:00:00,PT1H,COP/kWh,TX1,280.9604
PB_Tie,2025-12-31 10:00:00,PT1H,COP/kWh,TX1,255.0186
PB_Tie,2025-12-31 09:00:00,PT1H,COP/kWh,TX1,255.0186
PB_Int,2025-12-31 10:00:00,PT1H,COP/kWh,TX1,255.0186
PB_Nal,2025-12-31 08:00:00,PT1H,COP/kWh,TX1,265.9604
PB_Nal,2025-12-31 20:00:00,PT1H,COP/kWh,TX1,280.9604
PB_Tie,2025-12-31 08:00:00,PT1H,COP/kWh,TX1,255.0186
PB_Tie,2025-12-31 21:00:00,PT1H,COP/kWh,TX1,295.0076
PB_Int,2025-12-31 07:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Tie,2025-12-31 01:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Tie,2025-12-31 23:00:00,PT1H,COP/kWh,TX1,257.0186
PB_Tie,2025-12-31 04:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Int,2025-12-31 12:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Nal,2025-12-31 06:00:00,PT1H,COP/kWh,TX1,266.9604
PB_Tie,2025-12-31 00:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Tie,2025-12-31 14:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Int,2025-12-31 22:00:00,PT1H,COP/kWh,TX1,270.0186
PB_Int,2025-12-31 13:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Nal,2025-12-31 13:00:00,PT1H,COP/kWh,TX1,266.9604
PB_Tie,2025-12-31 19:00:00,PT1H,COP/kWh,TX1,285.0186
PB_Tie,2025-12-31 02:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Int,2025-12-31 05:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Nal,2025-12-31 11:00:00,PT1H,COP/kWh,TX1,265.9604
PB_Nal,2025-12-31 07:00:00,PT1H,COP/kWh,TX1,266.9604
PB_Tie,2025-12-31 15:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Tie,2025-12-31 03:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Nal,2025-12-31 17:00:00,PT1H,COP/kWh,TX1,280.9604
PB_Nal,2025-12-31 16:00:00,PT1H,COP/kWh,TX1,266.9604
PB_Int,2025-12-31 16:00:00,PT1H,COP/kWh,TX1,257.0186
PB_Int,2025-12-31 15:00:00,PT1H,COP/kWh,TX1,256.0186
PB_Int,2025-12-31 18:00:00,PT1H,COP/kWh,TX1,285.0186
PB_Int,2025-12-31 09:00:00,PT1H,COP/kWh,TX1,255.0186
PB_Nal,2025-12-31 00:00:00,PT1H,COP/kWh,TX1,266.9604
PB_Tie,2025-12-31 07:00:00,PT1H,COP/kWh,TX1,256.0186
